Name,Gender,Korean Name,Debut,Company,Members,Orig. Memb.,Fanclub Name,Active,disband
Brave Girls,F,브레이브걸스,31.03.2011,Brave,5,5,-,Yes,0
Matilda,F,마틸다,18.03.2016,Box,4,4,-,No,01.09.2019
Loona,F,이달의 소녀,04.10.2016,Blockberry,12,12,-,Yes,0
GLAM,F,글램,16.07.2012,Big Hit,4,4,-,No,15.01.2015
Lusty,F,러스티,26.06.2019,babaplay,5,5,-,Yes,0
Favorite,F,페이버릿,05.07.2017,Astory,6,6,-,Yes,0
Berry Good,F,베리굿,21.05.2014,Asia Bridge,6,5,-,Yes,0
ANS,F,에이엔에스,16.09.2019,ANS,8,6,-,Yes,0
Hinapia,F,희나피아,03.11.2019,Alseulbit,5,5,-,Yes,0
We Girls,F,위걸스,31.08.2018,Afternoon,8,8,-,Yes,0
Yellow Bee,F,옐로비,23.11.2017,Addiction,5,5,-,Yes,0
A.DE,F,에이디이,23.07.2016,2ABLE,6,7,-,No,01.11.2019
4Minute,F,포미닛,15.06.2009,Cube,5,5,4nia,No,15.06.2016
DIA,F,다이아,14.07.2015,MBK,7,7,AID,Yes,0
PURPLEBECK,F,퍼플백,24.06.2019,Majesty,5,5,Beckies,Yes,0
BESTie,F,베스티,11.07.2013,YNB,4,4,BESTiny,No,01.09.2018
2NE1,F,투애니원,06.05.2009,YG,4,4,Blackjack,No,25.11.2016
Busters,F,버스터즈,27.11.2017,JTG,5,5,Bu-Chu,Yes,0
Gfriend,F,여자친구,15.01.2015,Source,6,6,Buddy,Yes,0
CLC,F,씨엘씨,18.03.2015,Cube,7,5,Chesire,Yes,0
ChoColat,F,쇼콜라,16.08.2011,Paramount,5,5,Chocolatier,No,01.02.2017
Girl's Day,F,걸스데이,07.07.2010,DreamT,4,5,Dai5y,No,01.01.2017
Dal Shabet,F,달샤벳,03.01.2011,Happy Face,4,6,Darling,No,01.09.2019
AOA,F,에이오에이,30.07.2012,FNC,5,8,ELVIS,Yes,0
Brown Eyed Girls,F,브라운 아이드 걸스,02.03.2006,Mystic,4,4,Everlasting,Yes,0
April,F,에이프릴,24.08.2015,DSP,6,6,Fineapple,Yes,0
GWSN,F,공원소녀,05.09.2018,Kiwi Pop,7,7,Groo,Yes,0
Hello Venus,F,헬로비너스,09.05.2012,Fantagio,6,6,Hello Cupid,No,08.05.2019
Blady,F,블레이디,16.05.2011,Star Planet,5,4,Hi ade,No,20.10.2017
HighSchool,F,여고생,30.04.2019,Richworld,4,4,High Class,Yes,0
KARA,F,카라,29.03.2007,DSP,4,5,Kamilia,No,15.01.2016
Laboum,F,라붐,27.08.2014,NH,5,6,Latte,Yes,0
Ladies' Code,F,레이디스 코드,07.03.2013,Polaris,3,5,Lavely,No,16.02.2020
EXID,F,이엑스아이디,16.02.2012,Yedang,5,6,LEGO,Yes,0
Fiestar,F,피에스타,31.08.2012,LOEN,5,6,Let's,No,15.05.2018
Lovelyz,F,러블리즈,17.11.2014,Woollim,8,8,Lovelinus,Yes,0
SPICA,F,스피카,07.02.2012,CJ E&M,5,5,Mercury,No,06.02.2017
f(x),F,에프엑스,24.08.2009,SM,4,5,MeU,No,01.09.2019
9Muses,F,나인뮤지스,12.08.2010,Star Empire,4,9,MINE,No,24.02.2019
Oh My Girl,F,오마이걸,21.04.2015,WM,7,8,Miracle,Yes,0
ITZY,F,있지,12.02.2019,JYP,5,5,Mitzy,Yes,0
Mamamoo,F,마마무,18.06.2014,RBW,4,4,Moomoo,Yes,0
TWICE,F,트와이스,20.10.2015,JYP,9,9,Once,Yes,0
Apink,F,에이핑크,19.04.2011,Plan A,6,7,Pink Panda,Yes,0
After School,F,애프터스쿨,15.01.2009,Pledis,6,5,Playgirlz,No,01.08.2020
T-ara,F,티아라,29.07.2009,MBK,4,6,QUEEN'S,No,01.12.2017
Wanna.B,F,워너비,17.11.2014,Zenith,5,4,Ru.B,Yes,0
miss A,F,미쓰에이,01.07.2010,JYP,3,4,Say A,No,27.12.2017
SECRET,F,시크릿,13.10.2009,TS,3,4,Secret Time,No,01.01.2018
Sonamoo,F,소나무,29.12.2014,TS,5,7,Solbangul,Yes,0
Girls' Generation,F,소녀시대,05.08.2007,SM,5,9,SONE,Yes,0
GP Basic,F,지피 베이직,18.03.2011,Jacyhan,4,6,Spade,No,01.01.2015
SISTAR,F,씨스타,09.08.2011,Starship,4,4,STAR1,No,31.05.2017
Stellar,F,스텔라,28.08.2011,Pascal,4,4,Twinkle,No,25.02.2018
WJSN,F,우주소녀,25.02.2016,Starship,13,12,Ujung,Yes,0
D-Unit,F,디유닛,01.08.2012,D-Business,2,3,Unique,No,01.12.2013
EvoL,F,이블,10.08.2012,Stardom,5,5,Voller,No,01.01.2015
Wonder Girls,F,원더걸스,13.02.2007,JYP,4,5,Wonderful,No,10.02.2017
